Time&Fall 1&N. accel&Time&Fall2&N. accel
22:11:25.561&997,8682277736&0,1104563585&22:11:25.546&886,9780155111&0,0967170228
22:11:25.561&997,8682277736&0,1104563585&22:11:25.596&824,8933264368&0,0678555966
22:11:25.562&1158,3440766888&0,1751837822&22:11:25.645&1423,6411064591&0,3461966032
22:11:25.564&1158,3440766888&0,1751837822&22:11:25.693&2323,0073181116&0,7642866655
22:11:25.609&1539,4888762183&0,3289173258&22:11:25.742&1078,3009783915&0,1856576884
22:11:25.610&1539,4888762183&0,3289173258&22:11:25.791&882,4290339738&0,0946023292
22:11:25.610&1539,4888762183&0,3289173258&22:11:25.841&851,9424863217&0,0804299905
22:11:25.611&1539,4888762183&0,3289173258&22:11:25.888&678,9270947605&0
22:11:25.612&3203,2745745565&1&22:11:25.937&1777,7497011672&0,5108117317
22:11:25.612&2430,3812458131&0,688255932&22:11:25.986&2830,0574199122&1
22:11:25.657&2430,3812458131&0,688255932&22:11:26.082&1175,7776150276&0,2309718358
22:11:25.657&2430,3812458131&0,688255932&22:11:26.084&1155,212534558&0,2214117082
22:11:25.658&2430,3812458131&0,688255932&&&
22:11:25.659&2430,3812458131&0,688255932&&&
22:11:25.660&974,4208536356&0,1009989346&&&
22:11:25.660&974,4208536356&0,1009989346&&&
22:11:25.706&974,4208536356&0,1009989346&&&
22:11:25.706&974,4208536356&0,1009989346&&&
22:11:25.707&974,4208536356&0,1009989346&&&
22:11:25.707&974,4208536356&0,1009989346&&&
22:11:25.708&2417,0573017618&0,6828817615&&&
22:11:25.709&2417,0573017618&0,6828817615&&&
22:11:25.756&2417,0573017618&0,6828817615&&&
22:11:25.756&2417,0573017618&0,6828817615&&&
22:11:25.757&2838,330671363&0,8528010364&&&
22:11:25.758&2838,330671363&0,8528010364&&&
22:11:25.758&967,1406309322&0,0980624799&&&
22:11:25.759&967,1406309322&0,0980624799&&&
22:11:25.760&967,1406309322&0,0980624799&&&
22:11:25.804&724,0186461687&0&&&
22:11:25.805&724,0186461687&0&&&
22:11:25.805&724,0186461687&0&&&
22:11:25.806&724,0186461687&0&&&
